Book Id,Title,Author l-f,Date Read,My Rating,Average Rating,Publisher,Number of Pages,Original Publication Year
47021,The Taming of the Shrew,"Shakespeare, William",2017/06/01,2,3.80,Simon  Schuster,291,1593
32060287,Chanson douce,"Slimani, Leïla",2019/12/20,3,3.39,Gallimard,227,2016
22928910,Men Explain Things to Me,"Solnit, Rebecca",2017/01/08,2,3.89,Haymarket Books,154,2014
51496,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",2017/07/01,3,3.81,Signet Classics,144,1886
12294541,"Paris, My Sweet: A Year in the City of Light (and Dark Chocolate)","Thomas, Amy",2012/07/01,4,3.51,"Sourcebooks, Incorporated",280,2012
32075671,The Hate U Give,"Thomas, Angie",2018/12/10,5,4.51,Balzer + Bray,464,2017
15823480,Anna Karenina,"Tolstoy, Leo",2016/12/31,3,4.05,Vintage,964,1877
27070127,Vinegar Girl,"Tyler, Anne",2017/07/01,1,3.39,Hogarth,237,2016
28512742,Our Hearts Will Burn Us Down,"Valente, Anne",2017/08/01,3,3.08,William Morrow,384,2016
25719691,Most Likely to Succeed: Preparing Our Kids for the Innovation Era,"Wagner, Tony",2018/12/16,3,4.18,Scribner,305,2015
6751,Consider the Lobster and Other Essays,"Wallace, David Foster",2019/5/20,3,4.23,"Little, Brown and Company",343,2005
6759,Infinite Jest,"Wallace, David Foster",2019/1/21,4,4.29,Back Bay Books,1088,1996
24612148,Gold Fame Citrus,"Watkins, Claire Vaye",2017/08/01,2,3.29,Riverhead Books,339,2015
25221037,Unshakeable: 20 Ways to Enjoy Teaching Every Day...No Matter What,"Watson, Angela",2018/1/19,4,4.30,Due Season Press and Educational Services,276,2015
30653956,No One Is Coming to Save Us,"Watts, Stephanie Powell",2018/3/22,3,3.02,Ecco,371,2017
36723245,The Book of Essie,"Weir, Meghan MacLean",2019/11/19,4,3.93,Knopf Publishing Group,319,2018
35133922,Educated,"Westover, Tara",2019/10/10,4,4.47,Random House,334,2018
1617,"Night  (The Night Trilogy, #1)","Wiesel, Elie",2017/07/01,4,4.33,Hill & Wang,115,1956
25029015,The Lemoncholy Life of Annie Aster,"Wilbanks, Scott",2016/5/20,3,3.72,Sourcebooks Landmark,379,2015
32148570,Before We Were Yours,"Wingate, Lisa",2019/11/18,4,4.38,Ballantine Books,342,2017
25527530,Plume fantôme,"Wolff, Isabel",2019/7/15,3,4.07,JC Lattès,380,2014
